id,name,sku,current_price,list_price,discount_percentage,discount_label,product_url,image_url,specifications,all_specifications,images
sil699-sillon-ejecutivo-starken-pu-brown-hcl-1221-h-1221l-1041,SILLÓN EJECUTIVO STARKEN PU BROWN (HCL-1221/H-1221L),SIL699,11975.82,14089.2,15.0,-15%,https://www.cecomsa.com/shop/sil699-sillon-ejecutivo-starken-pu-brown-hcl-1221-h-1221l-1041,https://www.cecomsa.com/web/image/product.template/1041/image_256/%5BSIL699%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20PU%20BROWN%20%28HCL-1221-H-1221L%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'BROWN', 'Soporte en CS': '1 MES', 'Soporte en Partes': '1 MES', 'Soporte en Proveedor': '1 MES'}","{'MARCA': 'STARKEN', 'MODELO': 'HCL-1221', 'COLOR': 'BROWN', 'MATERIAL': 'PU', 'DIMENSIÓN': 'Ancho 29 pulg. Altura 46 pulg. Profundidad 25 pulg.', 'SOPORTE EN CS': '1 MES', 'SOPORTE EN PARTES': '1 MES', 'SOPORTE EN PROVEEDOR': '1 MES'}",['https://www.cecomsa.com/web/image/product.product/1041/image_1024/%5BSIL699%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20PU%20BROWN%20%28HCL-1221-H-1221L%29?unique=530f36d']
sil967-sillon-ejecutivo-starken-en-pu-browm-hlc-0769l-1038,SILLÓN EJECUTIVO STARKEN EN PU BROWM (HLC-0769L),SIL967,11725.07,13794.2,15.0,-15%,https://www.cecomsa.com/shop/sil967-sillon-ejecutivo-starken-en-pu-browm-hlc-0769l-1038,https://www.cecomsa.com/web/image/product.template/1038/image_256/%5BSIL967%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PU%20BROWM%20%28HLC-0769L%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'BROWN', 'Soporte en CS': '1 MES', 'Soporte en Partes': '1 MES', 'Soporte en Proveedor': '1 MES'}","{'MARCA': 'STARKEN', 'MODELO': 'HLC-0769L', 'COLOR': 'BROWN', 'MATERIAL': 'PU', 'DIMENSIÓN': 'Ancho 27.5 pulg. Altura 47 pulg. Profundidad 21 pulg.', 'SOPORTE EN CS': '1 MES', 'SOPORTE EN PARTES': '1 MES', 'SOPORTE EN PROVEEDOR': '1 MES'}",['https://www.cecomsa.com/web/image/product.product/1038/image_1024/%5BSIL967%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PU%20BROWM%20%28HLC-0769L%29?unique=530f36d']
sil549-sillon-ejecutivo-starken-en-piel-black-sx-5799b-1035,SILLÓN EJECUTIVO STARKEN EN PIEL BLACK (SX-5799B),SIL549,11725.07,13794.2,15.0,-15%,https://www.cecomsa.com/shop/sil549-sillon-ejecutivo-starken-en-piel-black-sx-5799b-1035,https://www.cecomsa.com/web/image/product.template/1035/image_256/%5BSIL549%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PIEL%20BLACK%20%28SX-5799B%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'BLACK', 'Soporte en CS': '1 DÍA', 'Soporte en Partes': '1 DÍA', 'Soporte en Proveedor': '1 DÍA'}","{'MARCA': 'STARKEN', 'MODELO': 'SX-5799B', 'COLOR': 'BLACK', 'MATERIAL': 'PIEL', 'DIMENSIÓN': 'Ancho 24.4 pulg. Altura 40.7 pulg. Profundidad 22.8 pulg.', 'SOPORTE EN CS': '1 DÍA', 'SOPORTE EN PARTES': '1 DÍA', 'SOPORTE EN PROVEEDOR': '1 DÍA'}",['https://www.cecomsa.com/web/image/product.product/1035/image_1024/%5BSIL549%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PIEL%20BLACK%20%28SX-5799B%29?unique=530f36d']
sil985-sillon-ejecutivo-starken-en-pu-black-hlc-1221l-1031,SILLÓN EJECUTIVO STARKEN EN PU BLACK (HLC-1221L),SIL985,11925.67,14030.2,15.0,-15%,https://www.cecomsa.com/shop/sil985-sillon-ejecutivo-starken-en-pu-black-hlc-1221l-1031,https://www.cecomsa.com/web/image/product.template/1031/image_256/%5BSIL985%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PU%20BLACK%20%28HLC-1221L%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'BLACK', 'Soporte en CS': '1 MES', 'Soporte en Partes': '1 MES', 'Soporte en Proveedor': '1 MES'}","{'MARCA': 'STARKEN', 'MODELO': 'HLC-1221L', 'COLOR': 'BLACK', 'MATERIAL': 'PU', 'DIMENSIÓN': 'Ancho 29 pulg. Altura 47 pulg. Profundidad 25 pulg.', 'SOPORTE EN CS': '1 MES', 'SOPORTE EN PARTES': '1 MES', 'SOPORTE EN PROVEEDOR': '1 MES'}",['https://www.cecomsa.com/web/image/product.product/1031/image_1024/%5BSIL985%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PU%20BLACK%20%28HLC-1221L%29?unique=530f36d']
sil584-sillon-ejecutivo-starken-pu-black-hlc-0631l-1-1030,SILLÓN EJECUTIVO STARKEN PU BLACK (HLC-0631L-1),SIL584,11323.87,13322.2,15.0,-15%,https://www.cecomsa.com/shop/sil584-sillon-ejecutivo-starken-pu-black-hlc-0631l-1-1030,https://www.cecomsa.com/web/image/product.template/1030/image_256/%5BSIL584%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20PU%20BLACK%20%28HLC-0631L-1%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'BLACK', 'Soporte en CS': '1 MES', 'Soporte en Partes': '1 MES', 'Soporte en Proveedor': '1 MES'}","{'MARCA': 'STARKEN', 'MODELO': 'HLC-0631L-1', 'COLOR': 'BLACK', 'MATERIAL': 'PU', 'DIMENSIÓN': 'Ancho 25.1pulg  Altura 43.7pulg  Profundidad 21.3pulg.', 'SOPORTE EN CS': '1 MES', 'SOPORTE EN PARTES': '1 MES', 'SOPORTE EN PROVEEDOR': '1 MES'}",['https://www.cecomsa.com/web/image/product.product/1030/image_1024/%5BSIL584%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20PU%20BLACK%20%28HLC-0631L-1%29?unique=530f36d']
sil938-sillon-ejecutivo-starken-en-piel-black-ys1104a-1025,SILLÓN EJECUTIVO STARKEN EN PIEL BLACK (YS1104A),SIL938,20802.22,24473.2,15.0,-15%,https://www.cecomsa.com/shop/sil938-sillon-ejecutivo-starken-en-piel-black-ys1104a-1025,https://www.cecomsa.com/web/image/product.template/1025/image_256/%5BSIL938%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PIEL%20BLACK%20%28YS1104A%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'BLACK', 'Soporte en CS': '1 DÍA', 'Soporte en Partes': '1 DÍA', 'Soporte en Proveedor': '1 DÍA'}","{'MARCA': 'STARKEN', 'MODELO': 'YS1104A', 'COLOR': 'BLACK', 'MATERIAL': 'PIEL', 'DIMENSIÓN': 'Ancho 23.5 pulg. Altura 48.5 pulg. Profundidad 20 pulg.', 'SOPORTE EN CS': '1 DÍA', 'SOPORTE EN PARTES': '1 DÍA', 'SOPORTE EN PROVEEDOR': '1 DÍA'}",['https://www.cecomsa.com/web/image/product.product/1025/image_1024/%5BSIL938%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PIEL%20BLACK%20%28YS1104A%29?unique=530f36d']
sil951-sillon-ejecutivo-starken-white-en-piel-hlc-1272l-1023,SILLÓN EJECUTIVO STARKEN WHITE EN PIEL (HLC-1272L),SIL951,10210.54,12012.4,15.0,-15%,https://www.cecomsa.com/shop/sil951-sillon-ejecutivo-starken-white-en-piel-hlc-1272l-1023,https://www.cecomsa.com/web/image/product.template/1023/image_256/%5BSIL951%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20WHITE%20EN%20PIEL%20%28HLC-1272L%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'WHITE', 'Soporte en CS': '1 DÍA', 'Soporte en Partes': '1 DÍA', 'Soporte en Proveedor': '1 DÍA'}","{'MARCA': 'STARKEN', 'MODELO': 'HLC-1272L', 'COLOR': 'WHITE', 'MATERIAL': 'PIEL', 'DIMENSIÓN': 'Ancho 25 pulg. Altura 47 pulg. Profundidad 23 pulg.', 'SOPORTE EN CS': '1 DÍA', 'SOPORTE EN PARTES': '1 DÍA', 'SOPORTE EN PROVEEDOR': '1 DÍA'}",['https://www.cecomsa.com/web/image/product.product/1023/image_1024/%5BSIL951%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20WHITE%20EN%20PIEL%20%28HLC-1272L%29?unique=530f36d']
sil953-sillon-ejecutivo-starken-en-piel-hlc-0631l-1-1022,SILLÓN EJECUTIVO STARKEN EN PIEL (HLC-0631L-1),SIL953,11323.87,13322.2,15.0,-15%,https://www.cecomsa.com/shop/sil953-sillon-ejecutivo-starken-en-piel-hlc-0631l-1-1022,https://www.cecomsa.com/web/image/product.template/1022/image_256/%5BSIL953%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PIEL%20%28HLC-0631L-1%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'BROWN', 'Soporte en CS': '1 DÍA', 'Soporte en Partes': '1 DÍA', 'Soporte en Proveedor': '1 DÍA'}","{'MARCA': 'STARKEN', 'MODELO': 'HLC-0631L-1', 'COLOR': 'BROWN', 'MATERIAL': 'PIEL', 'DIMENSIÓN': 'Ancho 18 pulg. Altura 32 pulg. Profundidad 16 pulg.', 'SOPORTE EN CS': '1 DÍA', 'SOPORTE EN PARTES': '1 DÍA', 'SOPORTE EN PROVEEDOR': '1 DÍA'}",['https://www.cecomsa.com/web/image/product.product/1022/image_1024/%5BSIL953%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20PIEL%20%28HLC-0631L-1%29?unique=530f36d']
sil929-sillon-ejecutivo-starken-en-nylon-red-h-8878f-1021,SILLÓN EJECUTIVO STARKEN EN NYLON RED (H-8878F),SIL929,8294.81,9758.6,15.0,-15%,https://www.cecomsa.com/shop/sil929-sillon-ejecutivo-starken-en-nylon-red-h-8878f-1021,https://www.cecomsa.com/web/image/product.template/1021/image_256/%5BSIL929%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20NYLON%20RED%20%28H-8878F%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'RED', 'Soporte en CS': '1 DÍA', 'Soporte en Partes': '1 DÍA', 'Soporte en Proveedor': '1 DÍA'}","{'MARCA': 'STARKEN', 'MODELO': 'H-8878F', 'COLOR': 'RED', 'MATERIAL': 'NYLON', 'DIMENSIÓN': 'Ancho 24.5 pulg. Altura 50 pulg. Profundidad 21.5 pulg.', 'SOPORTE EN CS': '1 DÍA', 'SOPORTE EN PARTES': '1 DÍA', 'SOPORTE EN PROVEEDOR': '1 DÍA'}",['https://www.cecomsa.com/web/image/product.product/1021/image_1024/%5BSIL929%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20EN%20NYLON%20RED%20%28H-8878F%29?unique=530f36d']
sil946-sillon-ejecutivo-starken-white-pu-hlc-0631l-1-1016,SILLÓN EJECUTIVO STARKEN WHITE PU (HLC-0631L-1),SIL946,11323.87,13322.2,15.0,-15%,https://www.cecomsa.com/shop/sil946-sillon-ejecutivo-starken-white-pu-hlc-0631l-1-1016,https://www.cecomsa.com/web/image/product.template/1016/image_256/%5BSIL946%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20WHITE%20PU%20%28HLC-0631L-1%29?unique=530f36d,"{'Marca': 'STARKEN', 'Color': 'WHITE', 'Soporte en CS': '1 MES', 'Soporte en Partes': '1 MES', 'Soporte en Proveedor': '1 MES'}","{'MARCA': 'STARKEN', 'MODELO': 'HLC-0631L-1', 'COLOR': 'WHITE', 'MATERIAL': 'PU', 'DIMENSIÓN': 'Ancho 23 pulg. Altura 45 pulg. Profundidad 23 pulg.', 'SOPORTE EN CS': '1 MES', 'SOPORTE EN PARTES': '1 MES', 'SOPORTE EN PROVEEDOR': '1 MES'}",['https://www.cecomsa.com/web/image/product.product/1016/image_1024/%5BSIL946%5D%20SILL%C3%93N%20EJECUTIVO%20STARKEN%20WHITE%20PU%20%28HLC-0631L-1%29?unique=530f36d']
